공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
잠실 한강공원,서울,송파구,한가람로 65,13010,32570,41201,89775,2023-02-28 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,3400,241970,103820,64960,2023-02-28 0:00
잠원 한강공원,서울,강남구,강남대로 708,4375,29438,31818,18866,2023-02-28 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4202,70286,43391,66864,2023-02-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,11487,24460,39220,49271,2023-02-28 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2200,32690,37850,30495,2023-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,42830,37540,33305,43900,2023-02-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,5019,12472,9475,20562,2023-02-28 0:00
망원 한강공원,서울,마포구,마포나루길 467,18780,35620,39545,55510,2023-02-28 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3053,43928,28850,26060,2023-01-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,1155,25000,8592,15025,2023-01-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4592,22319,4990,47464,2023-01-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,3774,10254,8291,15232,2023-01-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,18290,30550,31642,36847,2023-01-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,29360,29482,27140,2023-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,11000,85800,82400,7740,2023-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,10990,25541,30883,43915,2023-01-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,4200,214540,107320,47105,2023-01-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,4980,34156,18214,9850,2023-01-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,13860,67660,28835,11490,2023-01-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2275,8241,8700,13200,2022-12-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,3400,161638,105550,45734,2022-12-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4203,9674,4832,39356,2022-12-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,1106,19531,9402,14315,2022-12-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,9735,24460,22935,51255,2022-12-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,14255,23350,26704,29945,2022-12-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,1721,23820,7491,16303,2022-12-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3174,40737,34382,37152,2022-12-30 0:00
양화 한강공원,서울,영등포구,노들로 221,8800,40300,52800,24600,2022-12-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,1399,12880,15580,9770,2022-12-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,3698,10217,6817,15365,2022-12-30 0:00
양화 한강공원,서울,영등포구,노들로 221,9450,65200,68200,45900,2022-11-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,3550,37530,26290,40185,2022-11-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2000,32310,49830,23075,2022-11-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,4400,197200,180600,102995,2022-11-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,12460,49530,35250,143045,2022-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,1415,31516,22624,38657,2022-11-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,20595,36600,46200,81483,2022-11-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3397,48327,47461,56060,2022-11-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,8085,15020,10806,133901,2022-11-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2390,14840,25034,33150,2022-11-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,6521,15769,13750,35023,2022-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,2710,44187,49540,55730,2022-10-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,8655,79610,920630,26635,2022-10-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,9433,18790,16581,37176,2022-10-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,10551,39850,12394,238453,2022-10-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,26780,46715,61340,88110,2022-10-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,9100,221650,241530,122565,2022-10-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,17278,65749,69770,178730,2022-10-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,5520,57640,39100,53875,2022-10-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,27133,93619,195900,80114,2022-10-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,4350,31420,76420,69285,2022-10-31 0:00
양화 한강공원,서울,영등포구,노들로 221,15200,139660,349170,86000,2022-10-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,8955,31165,9236,198328,2022-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,23192,38070,69990,88137,2022-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,7235,41061,71700,79933,2022-09-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2540,57730,362520,56375,2022-09-30 0:00
양화 한강공원,서울,영등포구,노들로 221,10050,106910,107347,62440,2022-09-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,10000,231950,279450,107295,2022-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,5120,60180,52355,47740,2022-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,4280,55900,238980,27385,2022-09-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,9807,23537,23953,45071,2022-09-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,8340,46377,55720,61450,2022-09-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,16900,64630,61785,69737,2022-09-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,14160,81260,73000,94708,2022-08-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,10760,35478,40948,49543,2022-08-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4913,36498,59822,62726,2022-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7100,21883,7514,137589,2022-08-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3980,28890,81755,35350,2022-08-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,4320,55670,31830,40815,2022-08-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,87050,67849,69855,2022-08-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,13050,161290,183235,91506,2022-08-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,17716,20855,40154,49958,2022-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,7785,18417,33709,48486,2022-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2805,18950,84490,21550,2022-08-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,4310,96980,43410,73550,2022-07-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3360,41190,53140,49125,2022-07-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2760,48490,81340,27884,2022-07-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,8190,52801,58514,77420,2022-07-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,9500,198850,214160,101810,2022-07-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,8344,31532,11342,154823,2022-07-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,18200,22175,38285,46521,2022-07-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,9527,19776,17133,48334,2022-07-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,15780,95050,79860,140655,2022-07-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5403,41190,55945,82870,2022-07-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,93599,90591,70163,2022-07-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,11741,28614,13146,127463,2022-06-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,4660,72850,105357,139800,2022-06-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,12821,27225,42129,45351,2022-06-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,11740,238760,295250,166730,2022-06-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,12300,86500,79495,141195,2022-06-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,3294,136666,193995,37215,2022-06-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,5792,15953,16804,41399,2022-06-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,4790,78645,53222,89160,2022-06-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5912,46403,59312,90163,2022-06-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,3120,75216,49214,114620,2022-06-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,88396,107250,78077,2022-06-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,13530,332550,258100,148370,2022-05-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,0,29776,15383,56885,2022-05-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,212442,164624,0,166495,2022-05-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,10360,128550,130730,211875,2022-05-31 0:00
